,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
16603,Mercedes-Benz V 250 d Avantgarde Edition Lang L2 Distro+Liegep,53899,07/2022,Diésel,58110,140.0,1950,7.7,7,1,both-sided
16604,Mercedes-Benz V250d Avantgarde AMG Edition 360°+AHK+Standhz,63490,06/2022,Diésel,58100,140.0,1950,7.8,7,1,both-sided
16605,"Mercedes-Benz Vito 114 CDI 4x4 Tourer PRO Lang
34.971 € (bruto)
29.387 € (neto)",34971,06/2020,Diésel,58100,100.0,1950,8.1,8,1,right
16606,Opel Zafira Life 2.0 CDTI M Tourer L2*NAVI*ACC*CAM*,33080,04/2020,Diésel,58078,130.0,1997,,6,1,right
16607,Opel Vivaro Cargo Edition M Klima+Standheiz.+Navi+AHK,24950,05/2021,Diésel,58060,130.0,1997,5.5,3,1,right
16608,Mercedes-Benz V 250 d MP Horizon ED AHK*StdHz*KAM*LEDils*Totw,55899,10/2021,Diésel,58050,140.0,1950,7.8,5,1,right
16609,"Mercedes-Benz V 250 d MP Horizon ED AHK*StdHz*KAM*LEDils*Totw
55.899 € (bruto)
46.974 € (neto)",55899,10/2021,Diésel,58050,140.0,1950,7.8,5,1,right
16610,"Volkswagen T6.1 Caravelle 2.0 TDI Klima PDC 9 Sitzer 1Hand
28.900 € (bruto)
24.286 € (neto)",28900,11/2020,Diésel,58042,81.0,1968,6.3,9,1,right
16611,"Renault 1.6 DCI 145 L1H1 KASTEN NAVI,KAMERA,KLIMA
17.880 € (bruto)
15.025 € (neto)",17880,03/2019,Diésel,58024,107.0,1598,6.1,2,1,right
16612,"Renault Kangoo Limited, Wenig km, Eu6, 1.Hand",12800,11/2019,Diésel,58000,70.0,1461,4.8,5,1,both-sided
16613,"Renault Trafic Kasten L2H1 Komfort 1.Hand/Flügeltüren
18.990 € (bruto)
15.958 € (neto)",18990,02/2021,Diésel,58000,88.0,1997,5.6,3,1,right
16614,Mercedes-Benz Sprinter RWD/AWD 317 CDI 9G-Tronic Hoch Klimaaut,36900,02/2023,Diésel,58000,125.0,1950,9.0,3,1,right
16615,Renault Kangoo Limited* Automatik* 1 Hand*Klima*TÜV Neu,14499,12/2017,Gasolina,58000,84.0,1197,6.4,5,1,both-sided
16616,Mercedes-Benz V 250 Lang Ambiente Licht LED Tisch CAM AHK PDC,54900,10/2021,Diésel,58000,140.0,1950,6.4,7,2,right
16617,Volkswagen Crafter Kasten 2.0 TDI *Navi* 2x Klima* RFK,23800,09/2020,Diésel,58000,75.0,1968,,3,1,right
16618,"Volkswagen Caddy Cargo Neues Mod | Klima, AHK, Touch",19700,02/2021,Diésel,58000,55.0,1968,4.4,2,1,right
16619,"Mercedes-Benz Citan Kasten 109 CDI lang,Klima,58.000 KM,Euro 6",9999,10/2017,Diésel,58000,66.0,1461,4.3,2,1,right
16620,Volkswagen T6 BEACH CAMPER *AUFSTELLDACH *GARANTIE+FINANZ.,37990,06/2019,Diésel,58000,75.0,1968,6.5,6,1,right
16621,Mercedes-Benz Vito Tourer 114 CDI Autom Pro lang 8 Sitze AHK,35980,04/2021,Diésel,57991,100.0,1950,5.7,8,1,right
16622,Mercedes-Benz Vito Tourer 114 CDI Autom Pro lang Klima 8 Sitze,34480,04/2021,Diésel,57991,100.0,1950,5.7,8,1,right
16623,"Mercedes-Benz V250d Marco Polo HORIZON LED,Command,360°,1.Hand",55999,09/2019,Diésel,57985,140.0,1950,7.5,5,1,right
16624,"Ford Transit Custom Kasten 280 L1
16.590 € (bruto)",16590,04/2018,Diésel,57967,77.0,1995,6.2,3,2,right
16625,Volkswagen T6 Kasten 2.0 TDi Kurz Klima Doppelsitz E6,18940,11/2017,Diésel,57923,75.0,1968,,3,1,right
16626,Volkswagen T6 Caravelle +Klimaautomatik+9-Sitzer+PDC+,31490,01/2021,Diésel,57900,81.0,1968,6.3,9,1,right
16627,Opel Movano B Kasten L3H2/1.Hand/Navi/Assistenzsys/E6,21990,02/2022,Diésel,57900,110.0,2299,5.8,3,1,right
16628,Mercedes-Benz Sprinter 315 CDI KA Hoch Klima+270°TÜR+HolzBo,28536,06/2022,Diésel,57870,110.0,1950,9.1,3,1,right
16629,Mercedes-Benz Sprinter 317 CDI Tourer Hochdach Lang,62820,11/2022,Diésel,57856,125.0,1950,10.8,9,1,right
16630,"Mercedes-Benz Vito 116 4x4 lang+Mixto+AHK+Navi+Kamera+5 Sitzer
41.531 € (bruto)
34.900 € (neto)",41531,09/2022,Diésel,57845,120.0,1950,8.0,5,2,right
16631,"Mercedes-Benz Tourer 110 CDI LANG 9 SITZE KLIMA,NAVI,1.HD
26.880 € (bruto)
22.588 € (neto)",26880,08/2020,Diésel,57844,75.0,1749,6.7,9,1,right
16632,Mercedes-Benz Sprinter 315 CDI KA Hoch Klima+270°TÜR+HolzBo,27346,06/2022,Diésel,57830,110.0,1950,9.1,3,1,right
16633,Mercedes-Benz Sprinter 317 CDI KA Hoch 9G+Klima+MBUX+Kamera,34248,05/2023,Diésel,57828,125.0,1950,9.2,3,1,right
16634,Mercedes-Benz Vito 116 TOURER PRO EXTRAL NAVI KLIMA KAMERA,42890,08/2023,Diésel,57824,120.0,1950,7.3,9,1,both-sided
16635,Mercedes-Benz V 220 d RISE lang Selenitgrau! 8Sitzer!,44990,09/2022,Diésel,57816,120.0,1950,6.2,8,1,right
16636,Mercedes-Benz V 300 Edition Lang Version *1.Hand*MwSt.* ******,48990,06/2019,Diésel,57800,176.0,1950,,6,1,right
16637,Mercedes-Benz Sprinter 317 Kasten L2H2 RWD 360°Schwingsitz SHZ,36771,02/2022,Diésel,57800,125.0,1950,9.5,3,1,right
16638,Volkswagen Caddy 1.4 TSI Comfortline BMT Aut.*TEMPO*PDC*AHK,24490,02/2018,Gasolina,57768,92.0,1395,,5,2,right
16639,"Opel Zafira Life 2,0 Innovation AT, Irmscher Bodykit
43.990 € (bruto)
36.966 € (neto)",43990,03/2020,Diésel,57712,130.0,1997,5.5,7,1,both-sided
16640,"Volkswagen Caddy Nfz Kasten BMT
15.790 € (bruto)",15790,06/2018,Diésel,57711,55.0,1968,4.6,2,1,right
16641,Mercedes-Benz V 300 d Lang 4MATIC AMG Pano 360° Distronic,63780,09/2021,Diésel,57700,174.0,1950,8.4,7,2,both-sided
16642,"Volkswagen T6.1 Multivan 2,0 TDI DSG Sitz Standhzg AHK vorb",48200,09/2021,Diésel,57700,110.0,1968,,5,1,right
16643,Mercedes-Benz Sprinter 315 CDI Tourer Hochdach Standard,50980,06/2023,Diésel,57660,110.0,1950,10.8,9,1,right
16644,"Mercedes-Benz Sprinter 314 CDI Kasten Hochdach Standard
32.118 € (bruto)
26.990 € (neto)",32118,10/2019,Diésel,57648,105.0,2143,9.8,3,1,right
16645,"Volkswagen T6 2.0 TSI California Coast Edit. LED,Kamera,17""",54999,08/2017,Gasolina,57634,110.0,1984,9.6,4,2,right
16646,"Mercedes-Benz Marco Polo 250d 4M STANDHZ+DISTRONIC+AHK+MARKISE
57.990 € (bruto)",57990,07/2020,Diésel,57633,140.0,1950,9.0,4,4,right
16647,Mercedes-Benz Sprinter 317 CDI Tourer*Maxi*2xKLIMA*AHK*360Kam,62939,12/2022,Diésel,57625,125.0,1950,10.8,4,2,right
16648,Mercedes-Benz Vito 116 CDI KA lang Navi*AHK*Kamera*PTS*Sitzhei,32129,10/2022,Diésel,57617,120.0,1950,7.2,2,1,right
16649,Volkswagen T6 California California Ocean 4Motion,57900,06/2017,Diésel,57600,150.0,1968,6.8,4,2,right
16650,Mercedes-Benz Sprinter 315 CDI Tourer Hochdach Standard,52980,06/2023,Diésel,57548,110.0,1950,10.8,9,1,right
16651,"Mercedes-Benz Sprinter 314 Mixto HD 36 MBUX Klima 6-Sitzer
37.950 € (bruto)
31.891 € (neto)",37950,12/2019,Diésel,57543,105.0,2143,,6,1,right
16652,Mercedes-Benz Marco Polo 300 d EDITION Distr. AHK LED DAB 360°,59990,07/2019,Diésel,57528,176.0,1950,6.1,4,1,right
16653,Peugeot Rifter Allure L2 PureTech Standheizung Navi AHK,19550,03/2019,Gasolina,57500,81.0,1199,7.4,5,2,both-sided
16654,Opel Zafira Life Edition S,29900,08/2020,Diésel,57500,110.0,1997,5.4,8,2,right
16655,Volkswagen Crafter Kasten Kasten 35 mittellang Hochdach FWD,20880,06/2019,Diésel,57500,103.0,1968,7.4,3,1,right
16656,Volkswagen Beach/LED/AHK/NAVI,53990,01/2019,Diésel,57500,146.0,1968,7.0,7,2,right
16657,Volkswagen T6 California Ocean Edition Navi Kamera,49111,10/2016,Diésel,57500,150.0,1968,6.8,4,1,right
16658,Volkswagen T6.1 Multivan 2.0TDI Aut. Comfortline LED,51880,02/2021,Diésel,57500,146.0,1968,8.2,7,2,right
