,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
0,Mercedes-Benz Vito Kasten 122 CDI lang Austauschmotor von MB,8999,07/2013,Diésel,551000,165.0,2987,8.6,2,2,both-sided
1,Mercedes-Benz V 220 *Extra Lang*Kamera *PDC *Navi,20800,11/2016,Diésel,539000,120.0,2143,6.1,8,2,both-sided
2,"Mercedes-Benz V 250 d Avantgarde Edition lang 1Hand
19.900 € (bruto)
16.723 € (neto)",19900,03/2016,Diésel,531766,140.0,2143,6.0,6,1,both-sided
3,Mercedes-Benz V -Klasse V 250 CDI/BT/d AVANTGARD,28600,06/2018,Diésel,520093,140.0,2143,6.0,8,1,both-sided
4,"Mercedes-Benz V 200 V/220 CDI/d, 250 CDI/BT/d AVANTGART AMG",29990,12/2017,Diésel,519211,140.0,2143,6.0,8,1,both-sided
5,Mercedes-Benz V 200 7 SITS Navi Cruise 2x Schiebetur,21500,05/2017,Diésel,515001,100.0,2143,6.5,7,1,both-sided
6,Ford Tourneo Custom 9 Sitze 2xKlima 2xSchiebetür TOP,13000,05/2018,Diésel,508000,96.0,1995,6.3,8,1,both-sided
7,Volkswagen Caddy/Kombi Maxi Trendline BMT/7Sitzer/1.Hand,4900,12/2012,Diésel,504780,75.0,1598,5.2,7,1,both-sided
8,Mercedes-Benz V 250 AVANTGARDE extralang LED Leder el. Türen!!,19992,07/2017,Diésel,502093,140.0,2143,6.0,8,2,both-sided
9,Mercedes-Benz V-Klasse V 250 d lang Led Leder,19990,10/2014,Diésel,491000,140.0,2143,6.0,7,2,both-sided
10,"Volkswagen Sharan 2.0 TDI DSG *LKW Umbau*Navi*SHZ*
7.850 € (bruto)
6.597 € (neto)",7850,09/2015,Diésel,470000,110.0,1968,5.2,5,2,both-sided
11,Mercedes-Benz V 250d 4Matic Edition Lang 6Sitze,25000,09/2017,Diésel,470000,140.0,2143,6.7,6,2,both-sided
12,Volkswagen T5 Multivan*LEDER*NAVI*AHK*SHZ*TÜV8/26,8999,06/2007,Diésel,459414,128.0,2459,8.6,7,2,both-sided
13,Ford Tourneo Custom TDCi*170PS*8Sitze*Titanium*Euro6*,12200,07/2017,Diésel,459050,125.0,1995,6.3,8,2,both-sided
14,Ford Tourneo Custom TDCi*170PS*8Sitze*Titanium*Euro6,12200,07/2017,Diésel,459050,125.0,1995,6.3,8,2,both-sided
15,Fiat Scudo Panorama Executive L2H1 165 Multijet,5290,07/2011,Diésel,454680,120.0,1997,7.1,8,3,both-sided
16,Volkswagen Sharan Comfortline,13300,05/2019,Diésel,452900,110.0,1968,5.5,7,1,both-sided
17,Mercedes-Benz V 250 CDI/BT/d 4MATIC,19999,08/2016,Diésel,451000,140.0,2143,6.7,8,1,both-sided
18,"Mercedes-Benz V 250 d Aut. Avantgarde Extralang,8 Sitzer,Kam",24999,08/2018,Diésel,440000,150.0,2143,6.8,8,2,both-sided
19,Ford Transit Connect Kombi lang Trend,6990,04/2018,Diésel,437000,88.0,1499,4.8,5,2,both-sided
20,Mercedes-Benz Sprinter Bestattungswagen 4-Sarg,9950,07/2017,Diésel,437000,120.0,2143,8.0,2,1,both-sided
21,"Volkswagen Caddy PKW Maxi BMT Behindertengerecht, 7-Sitze",9900,12/2019,Diésel,429000,75.0,1968,5.5,7,1,both-sided
22,"Volkswagen T5 Multivan,7-Sitzer,Leder,Ahk,2X Schiebetüren",7990,09/2006,Diésel,424000,128.0,2459,,7,4,both-sided
23,Mercedes-Benz Vito 119 NEF Miesen 4x4 ATM mit 83.400 km,17999,03/2017,Diésel,422885,140.0,2143,5.8,3,1,both-sided
24,Volkswagen Caddy 2.0 TDI Maxi Trendline LED 7-Sitzer Navi,10900,03/2019,Diésel,420000,110.0,1968,,7,1,both-sided
25,"Ford Grand Tourneo Connect, SITZHEIZG, StandHeizg, AC",6390,01/2016,Diésel,419704,88.0,1499,4.6,7,1,both-sided
26,"Volkswagen Sharan 2.0 TDI SCR DSG 7 Sitzer Euro6
6.200 € (bruto)",6200,05/2019,Diésel,415000,110.0,1968,5.2,7,1,both-sided
27,"Volkswagen Caddy Maxi 7 Sitzer Neues Modell 2.0 TDI
11.900 € (bruto)",11900,06/2021,Diésel,414000,90.0,1968,4.6,7,1,both-sided
28,Mercedes-Benz Vito Tourer 116 CDI SchienenTempo. Freisp. 1.HD!,10445,11/2016,Diésel,410846,120.0,2143,6.0,2,1,left
29,Mercedes-Benz Vito 119 CDI 4Matic Extralang,14900,02/2019,Diésel,407950,140.0,2143,5.8,3,1,both-sided
30,Volkswagen Sharan 4Motion+7 Sitze+Automatik+Neue Motor+,14000,01/2018,Diésel,406000,135.0,1968,5.7,7,1,both-sided
31,Volkswagen Caddy Maxi /1.Hand/Automatik/Rollstuhlrampe/7 Si,12990,02/2019,Diésel,403552,75.0,1968,5.5,7,1,both-sided
32,Volkswagen T5 Business Bus Multivan Highline/Alu/Tüv 06.26,5990,05/2009,Diésel,400000,96.0,2459,8.3,7,3,both-sided
33,Renault Master III Kasten L3H3*2xSchiebetür*Klima*Tempom,13950,01/2020,Diésel,399102,132.0,2299,6.6,3,1,both-sided
34,"Mercedes-Benz V -Klasse 220 CDI/d, BT/d AVANTGAR ""EXTRA LANG""",18113,07/2016,Diésel,399000,120.0,2143,6.1,6,1,both-sided
35,Volkswagen Caddy Kombi,4200,06/2014,Diésel,399000,75.0,1598,5.7,5,1,left
36,"Volkswagen Caddy 2,0TDI BMT DSG Navi RAMPE PDC LED",11500,01/2017,Diésel,398000,75.0,1968,5.0,5,1,both-sided
37,"Seat Alhambra Style *Navi, Bi-Xenon & Kamera*",4999,05/2011,Diésel,396758,103.0,1968,5.5,5,2,both-sided
38,Mercedes-Benz V 250 d extralang Avantgarde 360°-Kamera LED,26490,11/2017,Diésel,396000,140.0,2143,6.0,8,2,both-sided
39,"Volkswagen T5 Multivan United*Standheizung*TOP ZUSTAND
10.900 € (bruto)",10900,05/2009,Diésel,395000,128.0,2459,6.5,7,2,both-sided
40,"Volkswagen T5 Multivan 2.5 TDI Comfortline Nav Standheizung
5.999 € (bruto)",5999,01/2004,Diésel,395000,128.0,2459,8.3,5,3,both-sided
41,Volkswagen T5 Multivan 2.5 TDI Aut. Comfortline PDC/AHK,9950,08/2007,Diésel,395000,128.0,2459,,5,3,both-sided
42,Mercedes-Benz Viano 3.0 CDI Ambiente XL 7-Seat Pano Tüv10/2026,17224,02/2013,Diésel,394000,165.0,2987,8.6,7,3,both-sided
43,"Renault Trafic Combi L2H1 2,9t verglast *KLIMA-8-SITZE*",3490,12/2006,Diésel,394000,107.0,2464,9.1,8,2,both-sided
44,"Volkswagen Sharan 2.0 TDI*HIGHLINE*BMT*1.HAND*7-SITZE*LEDER
7.550 € (bruto)",7550,06/2011,Diésel,393500,103.0,1968,5.5,7,1,both-sided
45,"Volkswagen Sharan Comfortline BMT/2,0 TDI/7*Sitzer/AHK/SHZ",7499,07/2011,Diésel,393000,103.0,1968,5.5,7,1,both-sided
46,"Citroën Berlingo Kasten L1*LKW*3 SITZE*2xSCHIEBETÜR*AHK*
2.400 € (bruto)",2400,04/2009,Diésel,392000,55.0,1560,5.8,3,1,both-sided
47,Volkswagen Caddy Kasten/Kombi Comfortline,4990,06/2011,Diésel,390000,75.0,1598,5.7,5,2,both-sided
48,Volkswagen Caddy Maxi DSG Navi LED Kamera MotorNeu,9750,11/2018,Diésel,390000,110.0,1968,,7,1,both-sided
49,Volkswagen Caddy Maxi Aut*Kamera*Rollstuhl*Rampe*7-Sitzer*,9900,06/2016,Diésel,389000,75.0,1968,4.6,7,1,both-sided
50,Mercedes-Benz Citan Mixto 111 CDI extralang EU 6*Klima*USB*TÜV,6980,03/2018,Diésel,387383,81.0,1461,4.4,5,2,both-sided
51,Mercedes-Benz V 220 Avantgarde Leder LED 8 Sitzer Navi,21490,07/2014,Diésel,387000,120.0,2143,5.7,8,4,both-sided
52,Mercedes-Benz V 220 AVANTGARDE lang 2.Hd LED KAMERA SHZ,21490,05/2016,Diésel,386641,120.0,2143,6.1,8,2,both-sided
53,"Fiat Doblo Doblò Maxi Kombi-KLIMA-TÜV-LANGSTRECKEN
5.490 € (bruto)",5490,06/2018,Diésel,385000,70.0,1598,5.2,5,1,both-sided
54,"Volkswagen T5 Multivan Highline DSG,Leder,Navi,Klima,2xSchi",7990,03/2008,Diésel,384837,128.0,2459,8.6,7,2,both-sided
55,Volkswagen T5 Transporter Lang*2xSchiebetür*Klima*DSG*,7950,07/2011,Diésel,384151,103.0,1968,8.3,7,2,both-sided
56,"Peugeot Partner Tendance ""1.HAND+KLIMA+SCHIEBEX2""",2298,08/2009,Diésel,384000,66.0,1560,5.6,5,1,both-sided
57,Volkswagen T6 2.0 TDI Transporter 8 Sitzer_2xSchiebetür,12900,10/2015,Diésel,384000,62.0,1968,,8,2,both-sided
58,"Fiat Scudo 12 SX L2H2 130 Multijet Hochdach AHK
3.700 € (bruto)",3700,03/2016,Diésel,383000,94.0,1997,7.1,3,1,both-sided
59,Mercedes-Benz V 250 CDI BT/d AVANTGARDE/EDITION lang V-Klasse,23700,06/2015,Diésel,380000,140.0,2143,6.0,6,1,both-sided
60,Volkswagen Caddy Life 1.9 TDI 77kW 7-Sitzer KLIMA/ALU,2350,11/2004,Diésel,380000,77.0,1896,6.0,7,2,both-sided
61,Volkswagen Caddy Maxi Comfortline 7 Sitze,10400,07/2020,Diésel,379000,110.0,1968,5.4,7,1,both-sided
62,Volkswagen T5 Multivan 2.5 TDI Cruise NAVI|PDC|AHK/STANDHEI,7900,04/2006,Diésel,378500,96.0,2459,8.3,7,3,both-sided
63,Volkswagen T6 Multivan Highline,19499,11/2017,Diésel,376449,110.0,1968,5.9,4,2,both-sided
64,Volkswagen Caddy /Kombi Kasten BMT 1.6 TDI 2X Schiebetüren,3990,11/2011,Diésel,376413,55.0,1598,5.2,2,2,both-sided
65,Mercedes-Benz V 220 V -Klasse Lang,23990,05/2015,Diésel,376272,120.0,2143,,8,1,both-sided
66,Mercedes-Benz Vito Mixto 4x4 116 CDI,6000,03/2015,Diésel,375086,120.0,2143,8.8,4,1,both-sided
67,"Fiat Ducato Maxi Grossr.-Kasten 35 160 L5H2 RS: 4035
12.899 € (bruto)",12899,03/2021,Diésel,374999,118.0,2287,7.5,3,1,both-sided
68,"Mercedes-Benz Vito Mixto 122 CDI lang V6 Final Edition,AHK",12450,09/2014,Diésel,373000,165.0,2987,8.6,5,1,both-sided
69,Renault Kangoo Happy Family TÜV NEU*1HAND*CHECKHEFT,3200,03/2010,Diésel,371000,50.0,1461,5.2,5,1,both-sided
70,Mercedes-Benz V 220 d 4MATIC Panorama*AVANTG EDITION*,21000,10/2017,Diésel,370000,120.0,2143,6.7,6,1,both-sided
71,Renault Kangoo Expression 1.5 dCi 90 FAP *1.Hand*,3299,11/2011,Diésel,370000,66.0,1461,5.2,5,1,both-sided
72,"Volkswagen T5 Multivan Comfortline*Standheizung*Navi*AHK*
6.500 € (bruto)",6500,12/2007,Diésel,370000,96.0,2459,8.3,7,2,both-sided
73,Volkswagen T5 Multivan,5900,10/2003,Diésel,369500,96.0,2459,9.3,7,3,both-sided
74,"Ford Grand C-Max Titanium. 7 Sitzer/ Xenon Navi
2.999 € (bruto)",2999,11/2011,Diésel,369000,120.0,1997,5.3,7,2,both-sided
75,"Volkswagen Caddy Maxi Behindertengerecht, Rampe",8950,05/2018,Diésel,367000,75.0,1968,5.1,5,1,both-sided
76,Renault Kangoo Happy Family | Motor läuft unrund!,1400,10/2010,Diésel,367000,66.0,1461,5.3,5,2,both-sided
77,"Volkswagen Sharan 2.0 TDI Style Navi Kamera Sitzh. PDC BT
6.980 € (bruto)",6980,05/2012,Diésel,365000,103.0,1968,5.5,5,2,both-sided
78,Mercedes-Benz Vito Tourer 116 4MATIC*LED*Klima*Automatik*AHK,18862,04/2016,Diésel,363317,120.0,2143,5.8,8,2,both-sided
79,"Seat Alhambra 2.0 TDI * 5-SITZER+KLIMA+EURO 5 *
4.950 € (bruto)",4950,07/2012,Diésel,360959,103.0,1968,6.0,5,2,both-sided
80,Mercedes-Benz Sprinter II Kasten 210/211/213/214/216 CDI,4490,07/2012,Diésel,360000,70.0,2148,9.9,2,2,left
81,Mercedes-Benz Vito Kasten 114 RWD lang Kühlwagen,9400,03/2016,Diésel,360000,100.0,2143,6.4,3,1,both-sided
82,Volkswagen Caddy Maxi Aut*Rollstuhl*Rampe*Kamera*7-Sitzer,10400,09/2017,Diésel,359000,75.0,1968,4.6,7,1,both-sided
83,Volkswagen T5 Transporter 2.5 TDI Kasten 4Motion *Tüv 12/24,6190,10/2008,Diésel,358000,96.0,2459,9.1,3,4,both-sided
84,Volkswagen Caddy Maxi Aut*Navi*Kamera*Rollstuhl*Rampe*,12700,06/2019,Diésel,357000,75.0,1968,4.6,5,1,both-sided
85,Mercedes-Benz V 250 Blue Tec Marco Polo+Hochdach+Standheizung+,30250,11/2015,Diésel,357000,140.0,2143,6.7,5,2,both-sided
86,"Volkswagen Caddy Maxi 1.6 TDI Trendline
5.000 € (bruto)",5000,01/2012,Diésel,356408,75.0,1598,5.2,7,4,both-sided
87,"Renault Trafic Kasten L1H1 2,7t Komfort",8650,12/2018,Diésel,356069,89.0,1598,6.5,4,1,both-sided
88,Volkswagen Caddy 2.0 TDI Cargo LED PDC neues Modell,10890,01/2021,Diésel,356000,75.0,1968,4.5,2,1,both-sided
89,Volkswagen Sharan Trendline BMT AUTOMATIK 7 SITZER/1. HAND,7590,02/2015,Diésel,354000,103.0,1968,5.7,7,1,both-sided
90,Toyota Previa Executive Automatik +Leder+Pano+,3400,12/2003,Gasolina,350000,115.0,2362,10.8,6,1,both-sided
91,Volkswagen T6 Multivan Highline*ACC*XENON*SHZ*I HAND*LED*,26999,06/2019,Diésel,349800,110.0,1968,6.4,7,2,both-sided
92,Volkswagen T5 Multivan 2.5 Atlantis Stand-H. S-Dach Kamera,11990,10/2007,Diésel,349000,128.0,2459,9.8,7,3,both-sided
93,Volkswagen Caddy Life 1.9 TDI 77kW 5-Sitzer,3090,02/2005,Diésel,349000,77.0,1896,6.0,5,3,both-sided
94,"Volkswagen Caddy Maxi Kom 1.Hand/5-Sitzer/Klima/Sitzheizung
6.700 € (bruto)",6700,02/2013,Diésel,348000,75.0,1598,5.7,5,1,both-sided
95,Mercedes-Benz Sprinter II Kasten 316 CDI,10990,03/2016,Diésel,346633,120.0,2143,8.0,2,1,both-sided
96,Ford Tourneo Custom 8 Sitze*SZH*Klima*SR+WR*AHK*TÜV*,11980,08/2015,Diésel,346358,114.0,2198,,8,1,both-sided
97,Mercedes-Benz Vito Kasten 114/BT RWD extralan. Automatik,12900,02/2020,Diésel,345100,100.0,2143,6.6,3,1,both-sided
98,"Renault Kangoo Edition Campus 1,2",2400,04/2007,Gasolina,344552,55.0,1149,7.0,5,2,both-sided
99,Opel Vivaro 2.5 CDTI L1H1 Life AHK DREHSITZE 7SITZE,7599,02/2005,Diésel,343231,99.0,2463,,8,1,both-sided
100,"Volkswagen Sharan Comfortline ACC, PDC, SHZ, Navi, 3Z.Klima
9.999 € (bruto)
8.403 € (neto)",9999,07/2017,Diésel,342360,110.0,1968,5.1,5,1,both-sided
101,"Ford Tourneo Custom,2,0 D Lang,2xSchiebetür,Automatik",14900,06/2018,Diésel,342000,96.0,1995,7.1,8,1,both-sided
102,Seat Alhambra Style-2.0TDI,5600,04/2011,Diésel,340560,103.0,1968,5.5,5,1,both-sided
103,Peugeot 807 Tüv 11.2025 6 Sitze,1590,12/2006,Diésel,340000,100.0,1997,7.1,6,3,both-sided
104,Volkswagen T5 Multivan 2.0 TDI DSG Highline AHK Alcantara,12990,10/2010,Diésel,339718,132.0,1968,,7,3,both-sided
105,Mercedes-Benz Vito Mixto 4x4 116 CDI lang*LKW Zul.*VOLL*TÜV*,12400,02/2014,Diésel,339600,120.0,2143,8.8,5,3,both-sided
106,"Opel Vivaro Kasten L1H1 2,7t*AHK*TÜV 10/25
3.999 € (bruto)",3999,12/2009,Diésel,338628,66.0,1995,8.8,3,1,both-sided
107,Volkswagen Caddy Life 1.9 TDI Family *KLIMA*NAVI*EURO.4*AHK,1950,08/2007,Diésel,338000,77.0,1896,6.4,5,2,both-sided
108,Mercedes-Benz Viano 3.0 CDI Ambiente Edition lang,18999,09/2011,Diésel,338000,165.0,2987,8.6,7,1,both-sided
109,Seat Alhambra Style DSG Pano Kamera Navi AHK Standh 3,11390,02/2019,Diésel,334800,110.0,1968,5.2,7,2,both-sided
110,Volkswagen T5 Multivan Highline 4M Neuer Motor,16500,05/2007,Diésel,334251,128.0,2459,9.3,6,3,both-sided
111,Volkswagen Caddy Kombi CrossCaddy 7-Sitze Xenon,8490,08/2014,Diésel,334000,125.0,1968,6.3,5,2,both-sided
112,Mercedes-Benz V 250 Avantgard EXTRALANG*8 SITZ*NEU MODEL M BUX,37900,07/2020,Diésel,334000,140.0,1950,5.9,8,1,both-sided
113,"Volkswagen Caddy 1,2TSI 63kW Trendline 5-Sitzer",2999,01/2011,Gasolina,334000,63.0,1197,6.8,5,2,both-sided
114,"Volkswagen T5 Transporter,AHK,ALU19,SZH,TURBO/SERV/TÜV NEU",11990,08/2005,Diésel,333688,96.0,2459,8.5,7,4,both-sided
115,Ford Transit FT 300 M Trend LANG/ TÜV/ 9-SITZER/KLIMA,6990,06/2012,Diésel,333000,92.0,2198,7.0,9,2,both-sided
116,Mercedes-Benz Sprinter II 310/311/313/314/316 Automatik,13499,05/2018,Diésel,333000,120.0,2143,7.9,2,1,both-sided
117,Volkswagen T6 Transporter extra lang 4motion Kllma -Std.hzg,13685,10/2016,Diésel,332872,150.0,1968,6.4,3,2,both-sided
118,"Peugeot 807 2,0HDi 140 FAP AHV/Navi/PDC",3801,03/2012,Diésel,332000,100.0,1997,7.1,5,1,both-sided
119,Volkswagen T5 Kombi *Klima*9.Sitzer*Standheizung*,7900,10/2007,Diésel,332000,75.0,1896,8.5,9,2,both-sided
120,Volkswagen T5 Transporter Kasten mit Klima,3599,01/2007,Diésel,331200,128.0,2459,8.4,2,2,left
121,"Volkswagen Caddy Life, AUTOMATIK, GEPFLEGT, EURO 4",3900,09/2006,Diésel,330000,77.0,1896,7.0,5,2,both-sided
122,Volkswagen T5 Multivan 2.5 TDI 4M Highline/Sthzg/ATMbei102t,12490,05/2007,Diésel,330000,128.0,2459,,7,3,both-sided
123,Volkswagen T5 Kasten-Kombi*2.0 TDI*SZH*Checkheft*Klima*,8790,01/2012,Diésel,329899,75.0,1968,7.7,6,1,left
124,Volkswagen Caddy Maxi DSG/5-Sitzer/2xSchiebe/Navi/1.Hand,12480,09/2017,Diésel,329000,75.0,1968,5.1,5,1,both-sided
125,Peugeot Partner 2.0 HDi Premium Kombi,1000,06/2003,Diésel,328496,66.0,1997,5.7,5,2,both-sided
126,Volkswagen T5 Multivan + Klima + 7 Sitzer,8998,06/2005,Diésel,328000,128.0,2459,8.3,7,4,both-sided
127,Volkswagen T5 2.0 TDI Multivan Team NEUER MOTOR,17990,04/2011,Diésel,326000,132.0,1968,7.8,7,2,both-sided
128,Mercedes-Benz Vito Kasten 116 CDI lang Automatik,7990,02/2011,Diésel,325300,120.0,2143,7.4,2,3,both-sided
129,Volkswagen Caddy Life Maxi Aut*Navi*Kamera*PDC*LED*Xenon*,14500,04/2022,Diésel,325000,90.0,1968,4.6,7,1,both-sided
130,"Volkswagen T5 Multivan Comfortline 2.0 TDI,Navi,SHZ,PDC",12900,01/2010,Diésel,325000,132.0,1968,,7,2,both-sided
131,Volkswagen T5 MULTIVAN 2.5TDI DPF AUT CONCERT*TOP AUSSTATT*,18999,06/2008,Diésel,324989,128.0,2459,,7,3,both-sided
132,Volkswagen T6 Transporter 9-SITZE*2x-Schiebetüren*PDC*KLiMA,11999,12/2015,Diésel,322000,75.0,1968,5.7,9,1,both-sided
133,Mercedes-Benz Citan Mixto 111 CDI extralang*Klima*PDC*AHK*EU5*,4999,08/2014,Diésel,322000,81.0,1461,,5,1,both-sided
134,Volkswagen T5 Multivan Highline Behindertengerecht/Turny,19900,10/2010,Diésel,321300,132.0,1968,8.1,6,1,both-sided
135,Volkswagen Caddy Maxi DSG ROLLSTUHL|5-SITZER|2xTÜR|PDC|SHZ,11980,11/2019,Diésel,319731,110.0,1968,5.3,6,1,both-sided
136,Opel Combo 1.6 CDTI Edition L1H1 1.HAND KLIMA PDC MFL,4890,10/2014,Diésel,318000,66.0,1598,6.0,5,1,both-sided
137,Volkswagen Sharan/DSG/Navi/Kamera/,7900,04/2013,Diésel,316075,103.0,1968,5.7,5,1,both-sided
138,Citroën C8 2.0 HDi 165 FAP Tendance * 1.Hand *,2999,03/2011,Diésel,316000,120.0,1997,,7,1,both-sided
139,Volkswagen Caddy Maxi/1.Hand/DSG/Navi/2xSchiebe/TOP,11380,02/2017,Diésel,316000,75.0,1968,5.1,5,1,both-sided
140,Volkswagen Caddy PKW Maxi BMT/1.Hand/DSG/Navi/2xSchiebe/TOP,11380,02/2017,Diésel,316000,75.0,1968,5.1,5,1,both-sided
141,Mercedes-Benz Vito 115 CDI Kompakt2.2 AUT.*KLIMA*SHZ*AHK*6SITZ,6998,03/2006,Diésel,316000,110.0,2148,9.8,6,2,both-sided
142,Volkswagen T6 Caravelle Comfortline 4Motion |Aut. |LED,24990,01/2019,Diésel,315951,146.0,1968,7.9,9,1,both-sided
143,Ford Transit Connect Kombi lang/Gepflegter Zustand,7400,04/2019,Diésel,315240,74.0,1499,4.6,5,1,both-sided
144,"Mercedes-Benz Viano2.2 CDI Trend kompakt Tüv 04.2026 Automatik
10.890 € (bruto)",10890,02/2011,Diésel,314900,120.0,2143,7.2,7,1,both-sided
145,Hyundai H-1 Travel Family+ 1.Hand Kamera 2 Schiebetüren,11390,05/2017,Diésel,314379,100.0,2497,7.5,8,1,both-sided
146,Volkswagen T5 Transporter Bus Multivan Comfortline 4Motion,7600,02/2006,Diésel,313000,128.0,2459,8.9,7,1,both-sided
147,Volkswagen Caddy PKW Trendline BMT,6999,04/2016,Diésel,313000,75.0,1968,4.6,5,1,both-sided
148,Volkswagen Caddy Kasten EcoProfi TDI Klima,5950,03/2013,Diésel,313000,55.0,1598,,2,2,both-sided
149,Volkswagen T6.1 Multivan 1-Hand DSG Virtual Leder/Alcantara,28900,12/2019,Diésel,312305,146.0,1968,6.3,7,1,both-sided
150,Volkswagen Caddy Kasten/Kombi Trendline,5499,01/2015,Diésel,312000,75.0,1598,5.7,5,1,both-sided
151,Mazda 5 Lim. 1.8 Exclusive*KLIMA*ALU*AHK*7-SITZER*,1500,12/2007,Gasolina,312000,85.0,1798,7.2,7,2,both-sided
152,Ford Grand C-Max Grand C-MAX Business Edition,3450,11/2014,Diésel,312000,103.0,1997,5.1,7,1,both-sided
153,"Volkswagen Caddy 1,6TDI SERVO/ZV mit FB/AHK/",3990,05/2011,Diésel,311100,75.0,1598,5.7,2,2,both-sided
154,Ford Transit Custom Automatik 9 Sitzer,14500,02/2018,Diésel,310000,96.0,1995,7.0,9,1,left
155,Volkswagen Sharan Comfortline BMT*AHK*Xenon*Tempomat,8500,06/2011,Diésel,308800,103.0,1968,5.7,5,2,both-sided
156,Seat Alhambra 2.0 TDI Ecomotive 110kW Style,9888,02/2017,Diésel,308687,110.0,1968,5.0,5,1,both-sided
157,Kia Carnival 2.9 CRDi EX,750,09/2005,Diésel,308127,106.0,2902,8.2,7,2,both-sided
158,Volkswagen T5 Transporter Kasten-Kombi Kombi lang 4Motion,9950,12/2011,Diésel,308000,103.0,1968,8.4,9,1,both-sided
159,Volkswagen Caddy Kasten/Kombi Maxi -2.0-7 Sitzer-PDC-Tempo,7750,07/2015,Diésel,307166,103.0,1968,5.9,7,2,both-sided
160,Peugeot 807 2.2 HDi Family Klimaautomatik PDC SHZ Tempo,499,07/2005,Diésel,306292,94.0,2179,7.3,5,2,both-sided
161,Volkswagen T5 Bus Multivan Comfortline NAVI/KLIMATR./TEMP.S,8950,02/2006,Diésel,306000,128.0,2461,8.6,7,2,both-sided
162,Volkswagen T5 Multivan Cruise 4Motion,13990,09/2006,Diésel,306000,96.0,2459,9.2,7,3,both-sided
163,"Volkswagen Caddy Life 1.9 TDI Colour Concept *1.HAND*
3.890 € (bruto)",3890,01/2006,Diésel,305937,77.0,1896,6.1,5,1,both-sided
164,Volkswagen Caddy Kasten/Kombi Trendline*Klima,3990,04/2011,Diésel,305000,55.0,1598,5.7,5,2,both-sided
165,"Mercedes-Benz V 250d Exclusive Edition 4Matic Lang / AMG Line
36.900 € (bruto)",36900,06/2016,Diésel,305000,140.0,2143,6.7,8,2,both-sided
166,"Volkswagen Caddy Life Family""TÜV""
4.499 € (bruto)",4499,01/2008,Diésel,305000,77.0,1896,,5,2,both-sided
167,"Lancia Voyager 7 Sitze TÜV neu,ab 89€ mtl finanzieren",8940,06/2014,Diésel,302850,130.0,2776,7.9,7,2,both-sided
168,Ford Grand C-Max 1.6 EcoBoost Titanium 7p,4900,01/2011,Gasolina,302015,110.0,1596,,5,1,both-sided
169,Volkswagen T5 Caravelle DSG Off Road 4 Motion NAVI AHK,14790,11/2014,Diésel,302000,132.0,1968,8.8,8,2,both-sided
170,"Lancia Phedra Executive Aut Vollleder el.Türen AHK
3.990 € (bruto)",3990,04/2004,Gasolina,301406,100.0,1997,,5,2,both-sided
171,Opel Combo 1.6CDT Selection L1H1 5 Sitze TÜV SHZ,4370,06/2012,Diésel,300430,66.0,1598,5.5,5,1,both-sided
172,Mazda 5 Active 2.0 * 7 Sitze * AUTOMATIK* KLIMA*ALU,2499,06/2010,Gasolina,300000,107.0,1999,8.2,7,1,both-sided
173,Volkswagen Caddy Maxi Kasten LKW ZULASSUNG 1.9 TDI. KLIMA,2990,05/2009,Diésel,300000,77.0,1896,6.0,2,1,left
174,"Volkswagen T5 Multivan Comfortline*TOP ZUSTAND*Bett+Tisch*
10.900 € (bruto)",10900,08/2008,Diésel,300000,128.0,2459,6.7,7,2,both-sided
175,Volkswagen Caddy Life 1.6 5-Sitzer Familiy,3599,08/2006,Gasolina,300000,75.0,1598,8.3,5,3,both-sided
176,Seat Alhambra Style 2.0 TDI,9200,03/2017,Diésel,300000,110.0,1968,5.2,7,2,both-sided
177,Volkswagen Caddy Kombi Team/1. Hand/Navi/2x Schiebe./TOP,7780,03/2015,Diésel,300000,75.0,1598,5.7,5,1,both-sided
178,Volkswagen Caddy PKW Maxi/1. Hand/DSG/Navi/2x Schiebe./TOP,12480,06/2017,Diésel,300000,75.0,1968,5.1,7,1,both-sided
179,Volkswagen Caddy/Kombi Maxi Trendline/PDC/Klima/SHZ/BT,8390,11/2012,Diésel,300000,103.0,1968,6.3,5,1,both-sided
180,Volkswagen Caddy Life Klima,3500,10/2010,Diésel,300000,77.0,1896,6.2,5,1,both-sided
181,"Opel Vivaro Kasten/Kombi Kasten L2H1 2,9t Doppelkabin",6500,06/2008,Diésel,300000,84.0,1995,8.8,5,2,both-sided
182,Volkswagen T5 Multivan,12000,05/2004,Diésel,300000,128.0,2459,8.3,7,2,both-sided
183,Volkswagen T5 Multivan Atlantis 2.5TDI 4Motion Climatronic,11900,02/2008,Diésel,300000,128.0,2459,9.4,7,4,both-sided
184,"Volkswagen Caddy Life 1.9 TDI 77kW 5-Sitzer,BC,SHZ,GRA!",1999,10/2004,Diésel,300000,77.0,1896,6.0,5,2,both-sided
185,Volkswagen Caddy Life 1.4+5-Sitzer+KLIMA+AHK,2200,03/2007,Gasolina,299500,59.0,1390,8.0,5,4,both-sided
186,Renault Trafic Mixto Automatik L2H1,13990,04/2020,Diésel,299000,125.0,1997,5.6,6,2,both-sided
